,term,cosine_sim_with_core, closest_terms_from_core
24,inertial,0.24752727,"[('inertial', 1.0000001192092896), ('inertia', 0.38964518904685974), ('natural_selection', 0.34998345375061035)]"
25,legitimacy,0.26169303,"[('legitimacy', 0.9999998807907104), ('legitimate', 0.6174986362457275), ('organizational_form', 0.37397056818008423)]"
26,liabilities_newness,0.23869503,"[('structural_inertia', 0.40843647718429565), ('population_ecology', 0.37859243154525757), ('organizational_form', 0.36917972564697266)]"
27,liability_newness,0.2954145,"[('structural_inertia', 0.5885844230651855), ('population_ecology', 0.522929310798645), ('death_rate', 0.45887258648872375)]"
28,liability_smallness,0.247806,"[('structural_inertia', 0.4953567385673523), ('population_ecology', 0.44368094205856323), ('death_rate', 0.37225520610809326)]"
29,localized_competition,0.23355035,"[('density', 0.3970922827720642), ('niche', 0.3804219961166382), ('ecological', 0.36497581005096436)]"
30,mortality,0.25506574,"[('death_rate', 0.6445791721343994), ('population', 0.4167298972606659), ('density', 0.38864022493362427)]"
31,niche,0.32713467,"[('niche', 1.0000001192092896), ('population_ecology', 0.5547811985015869), ('carrying_capacity', 0.4797203540802002)]"
32,niches,0.27711016,"[('niche', 0.7323968410491943), ('carrying_capacity', 0.44754087924957275), ('competition', 0.4265899658203125)]"
33,obsolescence,0.22769333,"[('evolution', 0.3890485167503357), ('inertia', 0.35428035259246826), ('competition', 0.3306921720504761)]"
34,organizational_change,0.32227108,"[('structural_inertia', 0.5941314697265625), ('population_ecology', 0.5014895796775818), ('evolution', 0.47954830527305603)]"
35,organizational_form,0.33551043,"[('organizational_form', 0.9999998807907104), ('population_ecology', 0.49902284145355225), ('evolution', 0.489593505859375)]"
36,organizational_forms,0.33725786,"[('organizational_form', 0.6923313140869141), ('population_ecology', 0.5846157073974609), ('structural_inertia', 0.5089727640151978)]"
37,population,0.27162662,"[('population', 1.0000001192092896), ('density', 0.46015921235084534), ('death_rate', 0.43764883279800415)]"
38,populations,0.3004647,"[('population', 0.7225896716117859), ('ecological', 0.4808553457260132), ('population_ecology', 0.42382627725601196)]"
39,resource_partitioning,0.31132096,"[('population_ecology', 0.5365955829620361), ('niche', 0.46020427346229553), ('carrying_capacity', 0.4525691568851471)]"
40,selection,0.2747893,"[('selection', 1.0), ('selection', 1.0), ('natural_selection', 0.43300849199295044)]"
41,size_localized,0.26141962,"[('population_ecology', 0.41353264451026917), ('density', 0.41234099864959717), ('niche', 0.38292407989501953)]"
42,specialism,0.24264225,"[('specialism', 1.000000238418579), ('generalist', 0.4035523235797882), ('specialist', 0.3450506925582886)]"
43,specialist,0.24611484,"[('specialist', 1.0), ('generalist', 0.5149348378181458), ('specialism', 0.3450506925582886)]"
44,specialists,0.21978867,"[('specialist', 0.6369262933731079), ('generalist', 0.4289088249206543), ('specialism', 0.3052603006362915)]"
45,specialization,0.22056088,"[('specialist', 0.4431162476539612), ('niche', 0.3640766143798828), ('competition', 0.3510669469833374)]"
46,species,0.2774381,"[('natural_selection', 0.5772438049316406), ('evolutionary', 0.5364611148834229), ('evolution', 0.4815940856933594)]"
47,succession,0.22271417,"[('ecological', 0.3698126971721649), ('structural_inertia', 0.36522895097732544), ('inertial', 0.3380378186702728)]"
48,survival,0.30379316,"[('evolution', 0.44230586290359497), ('niche', 0.3837747871875763), ('organizational_form', 0.3745519518852234)]"
49,survive,0.24141312,"[('niche', 0.34466075897216797), ('population_ecology', 0.3326428532600403), ('natural_selection', 0.3302101194858551)]"
